location,dbn,buildingName,buildingCode,address,waterTesting,elevatedResults,healthDptProtocolImplemented,dateLastTested,elevatedSamples,totalSamples,note
P.S. 001 The Bergen,K001,P.S. 1 - BROOKLYN,K001,309 47 STREET BROOKLYN 11220,Yes,No,No,,,,
P.S. K141,K141,I.S. 2 - BROOKLYN,K002,655 PARKSIDE AVENUE BROOKLYN 11226,Yes,No,No,,,,
Parkside Preparatory Academy,K002,I.S. 2 - BROOKLYN,K002,655 PARKSIDE AVENUE BROOKLYN 11226,Yes,No,No,,,,
Explore Charter School,K704,I.S. 2 - BROOKLYN,K002,655 PARKSIDE AVENUE BROOKLYN 11226,Yes,No,No,,,,
P.S. 003 The Bedford Village,K003,P.S. 3 - BROOKLYN,K003,50 JEFFERSON AVENUE BROOKLYN 11216,Yes,No,Yes,,,,
P.S. 005 Dr. Ronald Mcnair,K005,P.S. 5 - BROOKLYN,K005,820 HANCOCK STREET BROOKLYN 11233,Yes,Yes,Yes,2005,1,51,
P.S. K369 - Coy L. Cox School,K369,P.S. 5 - BROOKLYN,K005,820 HANCOCK STREET BROOKLYN 11233,Yes,Yes,Yes,2005,1,51,
P.S. 006,K006,P.S. 6 - BROOKLYN,K006,43 SNYDER AVENUE BROOKLYN 11226,Yes,No,No,,,,
P.S. 007 Abraham Lincoln,K007,P.S. 7 - BROOKLYN,K007,858 JAMAICA AVENUE BROOKLYN 11208,Yes,"Yes, in 2002",Yes,2004,0,30,
P.S. K004,K004,P.S. 7 - BROOKLYN,K007,858 JAMAICA AVENUE BROOKLYN 11208,Yes,"Yes, in 2002",Yes,2004,0,30,
P.S. 008 Robert Fulton,K008,P.S. 8 - BROOKLYN,K008,37 HICKS STREET BROOKLYN 11201,Yes,No,No,,,,
P.S. 009 Teunis G. Bergen,K009,P.S. 9 - BROOKLYN,K009,80 UNDERHILL AVENUE BROOKLYN 11238,Yes,No,No,,,,
Brooklyn East Collegiate Charter School,K780,P.S. 9 - BROOKLYN,K009,80 UNDERHILL AVENUE BROOKLYN 11238,Yes,No,No,,,,
"Magnet School of Math, Science and Design Technology",K010,P.S. 10 - BROOKLYN,K010,511 7 AVENUE BROOKLYN 11215,Yes,Yes,Yes,2004,3,16,
P.S. 011 Purvis J. Behan,K011,P.S. 11 - BROOKLYN,K011,419 WAVERLY AVENUE BROOKLYN 11238,Yes,No,No,,,,
Dr. Jacqueline Peek-Davis School,K012,P.S. 12 - BROOKLYN,K012,430 HOWARD AVENUE BROOKLYN 11233,Yes,"Yes, in 2002",Yes,2004,0,32,
Ronald Edmonds Learning Center II,K484,P.S. 12 - BROOKLYN,K012,430 HOWARD AVENUE BROOKLYN 11233,Yes,"Yes, in 2002",Yes,2004,0,32,
Achievement First East New York Charter School,K358,P.S. 13 - BROOKLYN,K013,557 PENNSYLVANIA AVENUE BROOKLYN 11207,Yes,No,No,,,,
P.S. 013 Roberto Clemente,K013,P.S. 13 - BROOKLYN,K013,557 PENNSYLVANIA AVENUE BROOKLYN 11207,Yes,No,No,,,,
J.H.S. 014 Shell Bank,K014,I.S. 14 - BROOKLYN,K014,2424 BATCHELDER STREET BROOKLYN 11235,Yes,No,No,,,,
P.S. K811 Connie Lekas School,K811,I.S. 14 - BROOKLYN,K014,2424 BATCHELDER STREET BROOKLYN 11235,Yes,No,No,,,,
P.S. K077,K077,I.S. 14 - BROOKLYN,K014,2424 BATCHELDER STREET BROOKLYN 11235,Yes,No,No,,,,
P.S. 015 Patrick F. Daly,K015,P.S. 15 - BROOKLYN,K015,71 SULLIVAN STREET BROOKLYN 11231,Yes,Yes,Yes,2004,1,44,
P.S. 016 Leonard Dunkly,K016,P.S. 16 - BROOKLYN,K016,157 WILSON STREET BROOKLYN 11211,Yes,Yes,Yes,2005,1,47,
Williamsburg Collegiate Charter School,K355,P.S. 16 - BROOKLYN,K016,157 WILSON STREET BROOKLYN 11211,Yes,Yes,Yes,2005,1,47,
Conselyea Preparatory School,K577,P.S. 17 - BROOKLYN,K017,208 NORTH  5 STREET BROOKLYN 11211,Yes,No,Yes,,,,
P.S. 017 Henry D. Woodworth,K017,P.S. 17 - BROOKLYN,K017,208 NORTH  5 STREET BROOKLYN 11211,Yes,No,Yes,,,,
P.S. 018 Edward Bush,K018,P.S. 18 - BROOKLYN,K018,101 MAUJER STREET BROOKLYN 11206,Yes,No,No,,,,
Brooklyn Arbor Elementary School,K414,P.S. 19 - BROOKLYN,K019,325 SOUTH  3 STREET BROOKLYN 11211,Yes,No,No,,,,
Academy of Arts and Letters,K492,P.S. 20 - BROOKLYN,K020,225 ADELPHI STREET BROOKLYN 11205,Yes,No,No,,,,
P.S. 020 Clinton Hill,K020,P.S. 20 - BROOKLYN,K020,225 ADELPHI STREET BROOKLYN 11205,Yes,No,No,,,,
P.S. 021 Crispus Attucks,K021,P.S. 21 - BROOKLYN,K021,180 CHAUNCEY STREET BROOKLYN 11233,Yes,No,No,,,,
P.S. K140,K140,P.S. 21 - BROOKLYN,K021,180 CHAUNCEY STREET BROOKLYN 11233,Yes,No,No,,,,
Brooklyn Arts and Science Elementary School,K705,P.S. 22 - BROOKLYN,K022,443 ST MARKS AVENUE BROOKLYN 11238,Yes,No,Yes,,,,
Explore Exceed Charter School,K333,P.S. 22 - BROOKLYN,K022,443 ST MARKS AVENUE BROOKLYN 11238,Yes,No,Yes,,,,
P.S. 023 Carter G. Woodson,K023,P.S. 23 - BROOKLYN,K023,545 WILLOUGHBY AVENUE BROOKLYN 11206,Yes,No,No,,,,
Brooklyn Charter School,K701,P.S. 23 - BROOKLYN,K023,545 WILLOUGHBY AVENUE BROOKLYN 11206,Yes,No,No,,,,
P.S. 024,K024,P.S. 24 - BROOKLYN,K024,427 38 STREET BROOKLYN 11232,Yes,No,No,,,,
Upper School @ P.S. 25,K534,P.S. 25 - BROOKLYN ,K025,787 LAFAYETTE AVENUE BROOKLYN 11221,Yes,"Yes, in 2003",Yes,2005,0,9,
P.S. 025 Eubie Blake School,K025,P.S. 25 - BROOKLYN ,K025,787 LAFAYETTE AVENUE BROOKLYN 11221,Yes,"Yes, in 2003",Yes,2005,0,9,
Frederick Douglass Academy IV Secondary School,K393,P.S. 26 - BROOKLYN,K026,1014 LAFAYETTE AVENUE BROOKLYN 11221,Yes,No,No,,,,
P.S. 026 Jesse Owens,K026,P.S. 26 - BROOKLYN,K026,1014 LAFAYETTE AVENUE BROOKLYN 11221,Yes,No,No,,,,
Madiba Prep Middle School,K681,P.S. 26 - BROOKLYN,K026,1014 LAFAYETTE AVENUE BROOKLYN 11221,Yes,No,No,,,,
Red Hook Neighborhood School,K676,P.S. 27 - BROOKLYN,K027,27 HUNTINGTON STREET BROOKLYN 11231,Yes,Yes,Yes,2004,1,19,
Summit Academy Charter School,K730,P.S. 27 - BROOKLYN,K027,27 HUNTINGTON STREET BROOKLYN 11231,Yes,Yes,Yes,2004,1,19,
P.S. 028 The Warren Prep Academy,K028,P.S. 28 - BROOKLYN ,K028,1001 HERKIMER STREET BROOKLYN 11233,Yes,"Yes, in 2003",Yes,2005,0,17,
P.S. 029 John M. Harrigan,K029,P.S. 29 - BROOKLYN,K029,425 HENRY STREET BROOKLYN 11201,Yes,No,No,,,,
P.S. 031 Samuel F. Dupont,K031,P.S. 31 (OLD 126) - K,K031,75 MESEROLE AVENUE BROOKLYN 11222,Yes,No,No,,,,
M.S. 442 Carroll Gardens School for Innovation,K442,P.S. 32 - BROOKLYN,K032,317 HOYT STREET BROOKLYN 11231,Yes,No,No,,,,
P.S. 032 Samuel Mills Sprole,K032,P.S. 32 - BROOKLYN,K032,317 HOYT STREET BROOKLYN 11231,Yes,No,No,,,,
P.S. 368,K368,I.S. 33 - BROOKLYN,K033,70 TOMPKINS AVENUE BROOKLYN 11206,Yes,No,No,,,,
Foundations Academy,K322,I.S. 33 - BROOKLYN,K033,70 TOMPKINS AVENUE BROOKLYN 11206,Yes,No,No,,,,
The School for the Urban Environment,K330,I.S. 33 - BROOKLYN,K033,70 TOMPKINS AVENUE BROOKLYN 11206,Yes,No,No,,,,
Success Academy Charter School - Bed-Stuy 1,K367,I.S. 33 - BROOKLYN,K033,70 TOMPKINS AVENUE BROOKLYN 11206,Yes,No,No,,,,
P.S. 034 Oliver H. Perry,K034,P.S. 34 - BROOKLYN,K034,131 NORMAN AVENUE BROOKLYN 11222,Yes,No,Yes,,,,
P.S. K141,K141,I.S. 35 - BROOKLYN,K035,272 MACDONOUGH STREET BROOKLYN 11233,Yes,Yes,Yes,2003,2,33,
M.S. 035 Stephen Decatur,K035,I.S. 35 - BROOKLYN,K035,272 MACDONOUGH STREET BROOKLYN 11233,Yes,Yes,Yes,2003,2,33,
Brooklyn Brownstone School,K628,I.S. 35 - BROOKLYN,K035,272 MACDONOUGH STREET BROOKLYN 11233,Yes,Yes,Yes,2003,2,33,
P.S. 038 The Pacific,K038,P.S. 38 - BROOKLYN,K038,450 PACIFIC STREET BROOKLYN 11217,Yes,No,No,,,,
P.S. 039 Henry Bristow,K039,P.S. 39 - BROOKLYN,K039,417 6 AVENUE BROOKLYN 11215,Yes,No,Yes,,,,
P.S. 040 George W. Carver,K040,P.S. 40 - BROOKLYN,K040,265 RALPH AVENUE BROOKLYN 11233,Yes,No,No,,,,
Gotham Professional Arts Academy,K594,P.S. 40 - BROOKLYN,K040,265 RALPH AVENUE BROOKLYN 11233,Yes,No,No,,,,
P.S. 041 Francis White,K041,P.S. 41 - BROOKLYN,K041,411 THATFORD AVENUE BROOKLYN 11212,Yes,No,Yes,,,,
Firststep NYC @ PS/IS 041,KCFA,P.S. 41 - BROOKLYN,K041,225 Newport Street BROOKLYN 11212,Yes,No,Yes,,,,
I.S. 98 Bay Academy,K098,I.S. 98 - BROOKLYN,K043,1401 EMMONS AVENUE BROOKLYN 11235,Yes,No,Yes,,,,
P.S. K771,K771,I.S. 98 - BROOKLYN,K043,1401 EMMONS AVENUE BROOKLYN 11235,Yes,No,Yes,,,,
P.S. 044 Marcus Garvey,K044,P.S. 44 - BROOKLYN,K044,432 MONROE STREET BROOKLYN 11221,Yes,No,No,,,,
Unity Prep Charter School,K757,P.S. 44 - BROOKLYN,K044,432 MONROE STREET BROOKLYN 11221,Yes,No,No,,,,
P.S./I.S. 045 Horace E. Greene,K045,P.S. 45 - BROOKLYN,K045,84 SCHAEFER STREET BROOKLYN 11207,Yes,No,No,,,,
P.S. 046 Edward C. Blum,K046,P.S. 46 - BROOKLYN,K046,100 CLERMONT AVENUE BROOKLYN 11205,Yes,No,No,,,,
